identifier	pos	stem	morphology	number	case	psx	figurative	grabbing	temporal	existential	non-finite	comment	category_based_on_finnish	meaning_fin	motion_predicate_lemma	predicate	rel_nouns_noun_finnish	rel_nouns_noun?	form	sentence
0066	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	(hevonen) voi vetää maaperää pitkin	кыскыны	вермӧ кыскыны	maaperä	мусин	вывті	Улынджык индӧм таблица петкӧдлӧ, уна-ӧ груз уна сикаса мусин ВЫВТІ вермӧ кыскыны вӧв.
0432	ADP	кос	кос-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Väylä (2)	jotta voisi alkaa menemään näiden välistä	ветлӧдлыны	медым позьны кутас ветлӧдлыны	ne	на	кості	Чукӧръяссӧ тэчны веськыд радъясӧн, медым позьны кутас бура ветлӧдлыны на КОСТІ гӧрйӧн да пиняӧн.
0281	ADP	кост	кост-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	jäävät niiden väliin	NA	кольӧны	ne	на	костті	Посни сіясысь ӧтдор гырысь сіясыс оз жӧ топыда пуксьыны: на КОСТТІ кольӧны ичӧтик розьяс — пораяс.
0181	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	«Герольд» нима сельхоз коммуналӧн (Мӧскуаса обласьт) силосуйтӧмын нёль вося опытыс петкӧдліс, мый кӧдзны силос вылӧ подсолнечник ВЫВТІ бур.
0182	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	6. Яй, силосӧн вердігӧн, лоӧ ВЫВТІ бур.
0183	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	А дирижабль вылын ветлӧм, йитӧд кутӧм уна боксянь позьӧ лыддьыны ВЫВТІ бурӧн ӧнія став сикас ветлӧмъяс дінас.
0184	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Абу кӧ гӧрӧма арнас коськӧм мутӧ, тулыснас колӧ сэті гӧрны водзджык, пырысь-пыр, мыйӧн помасяс вося кӧдзаыд, сёрмӧдчан кӧ гӧрӧмнад, бара жӧ муыс ВЫВТІ ёна косьмӧ да бӧрті гырысь комӧкӧн кутас гӧрсьыны.
0185	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Арктика кузя муннысӧ ВЫВТІ сьӧкыд, ёна кыз йиа сэті да, йиыс сэтысь весиг гожӧмъяснас оз сывлы да, нэмыс пыр сэні куйлӧ да.
0186	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Бобӧнянь вӧдитӧм бӧрын, арсяньыс кӧ гӧрны му, шабді улӧ лоӧ ВЫВТІ бур.
0187	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур вынсьӧдан корнеплодъяслы — куйӧд ва.
0188	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур корнеплодъяслы и пач пӧим.
0189	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур лоӧ, татшӧм веж куйӧдыскӧд кӧ тшӧтш пуктан муад кутшӧмсюрӧ минеральнӧй му вынсьӧданторъяс.
0190	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ васӧд либӧ ва сора кӧрымъяс силосуйтӧм
0191	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0192	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс ВЫВТІ колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0193	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Гуяс да гӧбӧчьяс ВЫВТІ кӧ косӧсь, тӧвнас колӧ шочиника лыасӧ пызйывлыны ваӧн.
0194	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Дерт оз кӧ ВЫВТІ бура быдмы бобӧняньыс ытшкан первой вонас, позьӧ и сэки кольны мыйта колӧ кӧйдыссӧ воӧдӧм вылас.
0195	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Дирижабльяс стрӧитӧмын эм ещӧ ӧти ыджыд тырмытӧмтор: ВЫВТІ донаӧсь сувтӧны дирижабльыслы колан мувывса сооруженньӧясыс — эллингъяс, сувтан (причальнӧй) мачтаяс, газӧвӧй завод, бензин видзанінъяс, мастерскӧйяс, лабораторияяс да сідз водзӧ.
0196	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Кӧрымыс кӧ ВЫВТІ васӧд да сочнӧй (капуста лист, корнеплодъяслӧн кор, вундалӧм тыква, да с. в.) сы дінӧ колӧ сорлавны шырӧм идзас либӧ полова.
0197	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Лысьтан мӧсъяслы корнеплодъясыд ВЫВТІ бур кӧрым.
0198	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Машинаясӧн морт вермӧ ветлыны кос ВЫВТІ, ваӧд, уна сё пӧв ӧдйӧнджыка да кокньыдджыка.
0199	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Медвойдӧр шыбитчис меным синмӧ Ӧниссялӧн ВЫВТІ быгалӧмыс.
0200	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	На вылын ВЫВТІ бура нуӧдӧны велӧдчан удж да посньыдик могъяс кузя, торъя заданньӧяс кузя лэбалӧмъяс.
0201	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Найӧ асьнысӧ петкӧдлісны ВЫВТІ бурӧн.
0202	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Овлывлӧ мукӧддырйи сідзи: скӧт ветлӧдлас во-мӧд видзьяс ВЫВТІ дзоньвидзаӧн, сэсся во нёль мысти, вит мысти став ветлӧдлысь скӧтыс чукӧрнас ӧтпырйӧ висьмӧ сибырса язваӧн.
0203	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Оз ков вундыны сійӧс дзик яй бердтіыс либӧ кольны ВЫВТІ кузя (5-ӧд серп.).
0204	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Ӧні ми аддзам, абу миян сэтшӧм омӧль скӧтным, кутшӧмӧн ми чайтлім, абу кӧ нӧ ВЫВТІ бур, сэтысь бара жӧ абу скӧтыс мыжа.
0205	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Пемыдіныд да, ватлаланіныд да, няйтыд да, — ВЫВТІ бур чахотка гаглы.
0206	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Силос ньӧжйӧ пӧсялӧ либӧ ВЫВТІ кыза слӧй тэчӧм вӧсна, либӧ кӧрымыс вывті ваа да сы вӧсна.
0207	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Силос ньӧжйӧ пӧсялӧ либӧ вывті кыза слӧй тэчӧм вӧсна, либӧ кӧрымыс ВЫВТІ ваа да сы вӧсна.
0208	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын кыскыны сьӧкыд груз лыа ВЫВТІ сьӧкыд, нёль мында сьӧкыдджык шоссе вывті кыскӧм серти.
0209	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын кыскыны сьӧкыд груз лыа вывті сьӧкыд, нёль мында сьӧкыдджык шоссе ВЫВТІ кыскӧм серти.
0210	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын оз ков ВЫВТІ видзӧдны пасъяс вылас, оз ков канаватӧ кодйыны-чукльӧдлыны пасъяс кузяыс, а колӧ кодйыны кыдз верман веськыдджыка.
0211	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ссср центръясын, торъя нин Москваын, турун ёна оз тырмы, турун вылӧ доныс мукӧд пӧлӧс кӧрымъяс серті ВЫВТІ вылын.
0212	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Став важ висьтъяс серти миянлысь Мутӧ кутшӧмкӧ паськыд море кутӧ: слӧнъясӧс кутысь черепаха пӧ море вывті плавайтӧ, кит море ВЫВТІ плавайтӧ.
0213	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, ВЫВТІ мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0214	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, вывті мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). ВЫВТІ векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0215	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, вывті мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс ВЫВТІ колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0216	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтчӧ и шабдіыд ВЫВТІ бур артмӧ.
0217	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтчӧ сэсся куйӧдтӧ оз и ков петкӧдны: шабді кӧ кӧдзан, артмӧ куйӧдавтӧгыс ВЫВТІ бур.
0218	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтшӧм вартӧм абу ВЫВТІ бур.
0219	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Тадзинад зэв уна да ВЫВТІ бур вына куйӧд артмӧ, да и идзасыд этшаджык вольӧс вылад мунӧ.
0220	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Татшӧм арся гӧрӧмыд ВЫВТІ бур картупельлы, капусталы да луклы.
0221	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Тулысын гӧрны-кӧдзны колӧ кыдз позьӧ водзджык, сӧмын мед гӧригад абу жӧ ВЫВТІ ва муыд-а, гӧр шабала (отвал) дінад да агас пинь дінад мед оз жӧ мавтчы муыс.
0222	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Уна скӧт видзысьяслы татшӧм квайт переменаыд ВЫВТІ бур.
0223	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Шабді кутӧма артмыны ВЫВТІ бур: ён сия (сіа) да ён юра.
0224	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Ытшкан первойя вонас бобӧнянь ВЫВТІ быдмӧ, усьӧ да оз ӧткодя во кӧйдысыс.
0225	ADV	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Этша ӧмӧй миян зіляясыд да ва видзьясыд, кӧні ВЫВТІ ва вӧснаыс туруныд оз быдмы?
0226	ADV?	выв	выв-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Медбур лекарство пӧдтан висьӧмысь: овны югыдінын, шонді водзын, бура сёйны-юны, сӧстӧма овны, оз ков уджавны вын ВЫВТІ, оз ков юны вина да оз ков куритчыны.
0299	ADP	ул	ул-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Väylä (3-ulott.)	Väylä	alkavat mennä katoksen alta	мунны	кутасны мунны	katos	навес	улӧд	Сэки додьяс кутасны мунны навес УЛӦД вомӧн восьса воротаяс пыр.
0666	ADP	дін	дін-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	menevät Narkomin ohi	прӧйдитны	прӧйдитны	Narkom	Нарком	дінті	А ӧні, кор Оборона кузя Нарком ДІНТІ прӧйдитӧны Май Первой лунӧ миян великӧй армияса частьяс, быд боец, медся пӧрысьсяньыс медся томӧдзыс, тӧдса ён фигура вылӧ видзӧдӧмӧн, коді спокойнӧя пукалӧ седлӧ вылын, думайтӧны:
0135	ADP	гӧгӧр	гӧгӧр-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Tila	sairastavat nenän ympäriltä (= oireilevat)	NA	висьмылӧны	nenä	ныр	гӧгӧрті	Унджыкысь чахоткаӧн висьмылӧны чужӧм кучик да ныр ГӦГӦРТІ.
0178	ADP	дор	дор-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	NA	Tila	nousee oven vierestä	кайны	кайӧ	ovi	ӧдзӧс	дорӧдыс	Ӧдзӧс ДОРӦДЫС йылӧдзыс кайӧ пос.
0673	ADP	пом	пом-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	Aukko	Aukko	menee sisään yhdeltä puolelta	пырны	пырӧ	yksi (toinen puoli tms.)	ӧтар	помӧдыс	Оз муыслӧн вуджӧрыс кай тӧлысь вылас, а тӧлысьыс прӧйдитӧ вуджӧр пырыс, пырӧ ӧтар ПОМӦДЫС, петӧ мӧдарӧдыс.
0555	ADP	сай	сай-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	vetävät korvan takaa	нуны	нуӧны	korva	пель	сайтіыс	Сійӧс пуктӧны со кыдзи: гезсӧ сюйӧны шӧрӧдыс гӧгӧр вӧвлы вомас, а помъяссӧ нуӧны юр вылас пель САЙТІЫС да кӧртыштӧны сідз, медым пекляыс вӧлі шӧркодя зэлалӧма.
0435	ADP	коласт	коласт-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	NA	Tila	mittaavat korvien välistä	мерайтны	мерайтӧны	korva	пель	коластӧдыс	Порсь мерайтсьӧ тадз: босьтӧны дюйма лента да мерайтӧны водзджык туша кузьта юр бӧр мыльксяньыс пель КОЛАСТӦДЫС (затылочнӧй бугорсяньыс) да лентасӧ мыш кузяыс нюжӧдӧны бӧж вуж бердӧдзыс.
0140	ADP	кост	кост-ӧд	sg	prl	FALSE		NA	NA	NA	NA	NA	Väylä (2)	Petrogradin ja Tsaarin kylän väliin oli avattu	восьтыны	вӧлі восьтӧма	Petrograd ja Tsaarin kylä	Петроград да Царскӧй село	костӧд	1838ʼ воӧ Петроград да Царскӧй село КОСТӦД вӧлі восьтӧма 25 км кузьта кӧрт туй.
0516	ADP	кост	кост-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä	Väylä (2)	menevät hampaiden välistä	мунны	мунӧны	hampaat	пиньяс	костті	Найӧ зэв лӧсьыда мунӧны пиньяс пыр, пиньяс КОСТТІ, оз доймыны.
0273	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	täytyy kantaa hampaan päältä (?)	новлӧдлыны	колӧ новлӧдлыны	hampaat	пиньяс	вывтіыс	Тшӧткасӧ колӧ новлӧдлыны пиньяс ВЫВТІЫС вылысянь улӧ, а оз пинь ан пӧлӧныс ӧтарӧ мӧдарӧ.
0712	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	Tila	Tila	lakaista lavan päältä	NA	чышкыштӧ	lava	платформа	вывтіыс	Аслас пиньяснас чышкыштӧ платформа ВЫВТІЫС да шыбитӧ вундӧм няньсӧ.
0737	ADP	сер	сер-ти	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	"""junan menemiseen liittyen"""	NA	NA	junan meno	поезд мунӧм	серти	Брезентӧн вевттигӧн колӧ, медым кык брезент ӧтлаасянінті водзвывсаыс (поезд мунӧм СЕРТИ) тальччис бӧрвывса брезентыслысь дорсӧ.
0101	ADP	выв	выв-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Aukko	kuljettaa siivilöiden läpi	ветлӧдлыны	ветлӧдлӧ	siivilät	пожъяс	вывтіыс	Сылӧн пожъясыс ветлӧны бӧрӧ да водзӧ, сы понда кӧйдысыс ветлӧдлӧ пожъяс ВЫВТІЫС пыр бок вылас.
0742	ADP	сер	сер-ти-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	NA	"""nipusta, tai siihen (kasvit. termi) liittyen"""	NA	NA	nippu?	позтыр	сертиыс	Картупель воӧмсӧ позьӧ тӧдмавны позтыр СЕРТИЫС, колӧ кодйыны бурджык позтыр да пыркнитны заӧдыс кутӧмӧн.
0255	ADP	дор	дор-ті-ыс	sg	tra	TRUE		NA	NA	NA	NA	NA	Tila	täytyy pöyhiä (ihoa hitaasti) sukupuolielimen vierestä	NA	колӧ вӧрӧшитыштны	sukupuolielin	полӧвӧй_орган	дортіыс	Ай да энь тӧдмавсьӧ тадзикӧн: водтӧдны колӧ гатшӧн да вӧляысь кутыштны ас бердад бӧжӧдыс, а веськыд кинад (чуньяснад) колӧ вӧрӧшитыштны надзӧникӧн кучиксӧ полӧвӧй орган ДОРТІЫС.
0089	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	TRUE	Tila	Tila	laidunmaata pitkin mennessä	ветлыны	ветлігӧн	laidunmaa	пӧскӧтина	вывті	Пӧскӧтина ВЫВТІ ветлігӧн вӧвъяслӧн сӧвмӧны-ёнмӧны мускулъясыс, сӧнъясыс да кусмӧсъясыс.
0697	ADP	ув	ув-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä	Väylä	mahtuu menemään siltojen alta	NA	тӧрӧ	sillat	посъяс	увті	Платформа вылӧ турун лэптыссьӧ габарит серти (джуджыда-ӧ тӧрӧ кӧрт туй посъяс УВТІ, кыті лоӧ мунны платформалы) да овлӧ обычнӧя 2,5 м судта.
0747	ADP	сер	сер-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	"""(samanlaisen) prinsiipin mukaan"""	NA	NA	prinsiippi	принцич	серті	Практика уджъяс нуӧдігӧн колӧ разнӧй юкӧдса материалсӧ пуктыны орччӧн да став проработкасӧ нуӧдны ӧткодь принцип СЕРТІ.
0069	NOUN?	выла	выла-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	NA	voi lentää (2000 km) kauemmas	NA	вермӧ лэбзьыны	NA	NA	вылаті	Моторъясыслы ломтысянсӧ босьтӧ 10 час лэбалӧм вылӧ, вермӧ лэбзьыны 2000 метр ВЫЛАТІ.
0236	ADV	вылі	вылі-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	— Тонӧ зэв ВЫЛІТІ лэбӧ лэбач, либӧ аэроплан, либӧ дирижабль (3ʼ да 4ʼ серп.).
0237	ADV	вылі	вылі-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	Кӧйдыс вылӧ кольӧм вужъясысь корсӧ колӧ вундавны кор вуж бердсяньыс сантиметр кык ВЫЛІТІ.
0238	ADV	вылі	вылі-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	Лыйӧм лэбач, ёна ВЫЛІТІ кӧ сійӧ вӧлі лэбзьӧ, усьӧ дырджык.
0239	ADV	вылі	вылі-ті-ыс	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вылітіыс	Ӧтик сийӧс помсӧ позьӧ ВЫЛІТІЫС восьтыны да калькӧдны (эм уліса шарнир).
0240	ADV	вылі	вылі-ті-ыс	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вылітіыс	Сэсся косьмас да коркаасяс ВЫЛІТІЫС, быттьӧ клеитас мусӧ.
0169	ADP	дін	дін-ті	sg	tra	FALSE		NA	NA	TRUE	NA	NA	Tila	korkeus on kulkureitin kohdalta…	NA	джудждаыс	kulkureitti	проход	дінті	Куйӧд канаваяссӧ лӧсьӧдӧма куйӧд чукӧртӧм могысь, пасьтаыс 36–40 см, джудждаыс стойла бердті 8 см да куйӧд проход ДІНТІ 12 см.
0513	ADP	йыв	йыв-ъяс-ті	pl	tra	FALSE		NA	NA	NA	TRUE	Tila	Tila	puiden latvoja pitkin menneen	мунны	мунӧм	puu	пу	йывъясті	Повальнӧй пӧжаръяс кусӧдігӧн медъёна колӧ зільны дугӧдны билысь пу ЙЫВЪЯСТІ мунӧм.
0530	ADP	йыв	йыв-ті	sg	tra	FALSE		NA	NA	NA	TRUE	NA	Väylä (2)	puun latvassa menevä	мунны	мунысь	puu	пу	йывті	Кымын тшӧкыд лыска вӧр, сымын ёна жугӧдӧ сійӧс пу ЙЫВТІ мунысь би.
0015	ADP	кост	кост-ӧд	sg	prl	FALSE		NA	NA	NA	NA	Aukko	Väylä (2)	puun oksien välistä (hän) näki	NA	аддзис	puun oksat	пу увъяс	костӧд	И сэн, на сайын, пу увъяс КОСТӦД сійӧ аддзис: сё, кыксё, витсё, он гӧгӧрво мындаӧн белӧйяс мыйвынсьыныс локтӧны станциялань.
0324	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä	Väylä	vetää (hieman) veitsen myötäisesti	кыскыштны	кыскыштӧ	veitsi	пурт	вывті	Рот вундалысь босьтӧ ротсӧ да пуктӧ пурт вылӧ да кыскыштӧ пурт ВЫВТІ асланьыс.
0487	ADP	берд	берд-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä	Väylä (2)	menee reunaa pitkin	мунны	мунӧ	reuna?	пыдӧс	бердті	Канава пыдӧслӧн пӧперӧг ногса пӧлыньтчӧмыс вӧчсьӧ жӧлӧблань «А», коді мунӧ пыдӧс БЕРДТІ (видзӧдӧй 17ʼ серпас).
0749	ADP	сер	сер-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	NA	"""rakkauden perusteella"""	NA	NA	rakkaus	радейтӧм	серті	Сідзкӧ сынӧдӧс радейтӧм СЕРТІ шоммӧдысь гагъясӧс позьӧ юкны кык пельӧ: ӧтарсаясыслы рӧдйысьны да уджавны колӧ уна сынӧд.
0246	ADV	выльла	выльла-ті	NA	tra	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выльлаті	Сэсся, изгармыштас вӧлі муыд ӧтилаті, эновтасны да ВЫЛЬЛАТІ гӧрасны.
0070	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	Väylä	Väylä (2)	(vaunut) voivat mennä kiskoja pitkin	ветлыны	вермӧны ветлыны	kiskot	рельсъяс	вывті	Паравоз да вагонъяс вермӧны ветлыны сӧмын рельсъяс ВЫВТІ.
0288	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	NA	NA	Väylä (2)	juoksivat kiskoja pitkin	котравны	котралісны	kiskot	рельсъяс	вывті	Повзьӧмысла юрвежӧръяссӧ воштӧмӧн ставныс найӧ котралісны рельсъяс ВЫВТІ, горзісны, бӧрдісны, кватлалісны ӧта-мӧднысӧ.
0678	NOUN	туй	туй-ӧд-ыс	sg	prl	TRUE		NA	NA	NA	NA	Aukko	Aukko	menevät sisään porautuneista rei'istä	пырны	пырӧны	porautuneet	розьӧдлӧм	туйӧдыс	Сы понда веж куйӧд бӧрын кӧдзаяслӧн дась розьӧдлӧм ТУЙӦДЫС вужъясыс пыдӧдзджык пырӧны (6-ӧд серпас вылын моз) да бурджыка и асьныс быдмӧны.
0087	ADP	выв	выв-ті	sg	tra	FALSE		NA	NA	NA	TRUE	Tila	Tila	mätänevää ruokaa pitkin mennessä	ветлыны	ветлігӧн	ruoka	сёян	вывті	Куйӧд, кашельясті, сісьман сёян ВЫВТІ ветлігӧн гутъяслы кокъясас сибдалӧны быдсяма пӧлӧс висьӧмлӧн микробъясыс.
0154	ADP	водз	водз-ті	sg	tra	FALSE		NA	NA	NA	NA	Tila	Tila	aukeaa silmän edessä	NA	воссьыштас	silmä	син	водзті	Тайӧ висьталӧм бӧрын Му масса йылысь неуна гӧгӧрвоанаджык лоӧ, быттьӧ воссьыштас син ВОДЗТІ, но стӧчсӧ вежӧравны он на жӧ вермы.
0099	ADP	бок	бок-ъяс-ті-ыс	pl	tra	TRUE		NA	NA	NA	NA	Väylä (distr.)	Väylä (2)	kulkee lajittelun reunoja pitkin	ветлыны	ветлӧ	lajittelu(systeemi tai paikka)	сортировка	бокъястіыс	Мед картупельыс эз сибдав бедьяс костас, сортировка БОКЪЯСТІЫС ветлӧ ӧти либӧ кык уджалысь да роскӧн перъялӧны сибдӧм картупельяссӧ.
