identifier	pos	stem	morphology	number	case	psx	comment	figurative	grabbing	temporal	existential	non-finite	meaning_fin	predicate	rel_nouns_noun?	form	sentence
0160	ADP	берд	берд-ті-ыс-джык	sg	tra	TRUE	Tila	NA	NA	NA	NA	NA	leikkaavat maan vieremmästä	вундалӧны	му	бердтіысджык	Сійӧс идралӧны, кодыр кӧйдысыс небыдкодь на. Подсолнечниксӧ вундалӧны му БЕРДТІЫСДЖЫК да ставнас тэчӧны силосӧ.
0161	ADP	дор	дор-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	NA	leikkaa solmun vierestä	вундӧ	гӧрӧд	дортіыс	Нарошнӧ лӧсьӧдӧм пурт гӧрӧд ДОРТІЫС вундӧ.
0162	NOUN	улі	улі-ӧд-ыс	sg	prl	TRUE	Tila	NA	NA	NA	NA	NA	ompelimme alitse	вурыштім	NA	уліӧдыс	УЛІӦДЫС вурыштім, мед сэсся немтор оз понды ӧшӧдчыны.
0163	ADP	выв	выв-ті	sg	tra	FALSE	NA	NA	NA	NA	NA	NA	pyörittävät sitä pitkin	гӧглясьӧны	сы	вывті	Мукӧдыс бара мӧвпалӧны, енэжыс пӧ чорыд, хрустальысь, кодзувъясыс пӧ сы бердӧ ляскысьӧмаӧсь, а тӧлысьыд да шондіыд пӧ сы ВЫВТІ кык сяр моз гӧглясьӧны.
0164	NOUN	кост	кост-ъяс-ті-ыс	pl	tra	TRUE	NA	NA	NA	NA	NA	NA	kyntää väleistä	гӧрны	NA	костъястіыс	Сы вӧсна пуктӧм бӧрас колӧ коканӧн кокавны, а пуктӧма кӧ гӧрышталӧмӧн, КОСТЪЯСТІЫС гӧрны окучникӧн.
0165	ADP	выв	выв-ті	sg	tra	FALSE	NA	NA	NA	NA	NA	NA	kuljette (veneellä) järveä pitkin	гуляйтанныд	ты	вывті	Думыштлӧй жӧ, мый ті ты ВЫВТІ пыжӧн гуляйтанныд, и друг сэки ты пыдӧсыс вӧйи, кытчӧкӧ пыдӧ тюпкысис.
0166	NOUN	небеса	небеса-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	kulkee taivasta pitkin	гуляйтӧ	NA	небесаӧд	Ӧні весиг ичӧт школаын велӧдчысь быд детина нин тӧдӧ гым-чардлысь, зэрлысь артмӧмсӧ, оз нин шу, тайӧ пӧ НЕБЕСАӦД Илля пророк гуляйтӧ.
0167	NOUN	вӧраин	вӧраин-ті	sg	tra	FALSE	Tila	NA	NA	NA	NA	NA	tapahtuu harva(kasvuisilla) metsäpaikoilla	действуйтӧ	NA	шоч вӧраинті	Тайӧ пӧжарыс зэв ёна действуйтӧ жар дырйи, лунын, а войын мукӧдлатіыс (торъя нин ШОЧ ВӦРАИНТІ да куш коластъясӧд), лысва усьӧм понда да посни мусин вылыс понда, ачыс кусӧ.
0168	ADP	берд	берд-ті	sg	tra	FALSE	Väylä (mitta)	NA	NA	NA	NA	NA	pituus on pilttuuta pitkin	джудждаыс	стойла	бердті	Куйӧд канаваяссӧ лӧсьӧдӧма куйӧд чукӧртӧм могысь, пасьтаыс 36–40 см, джудждаыс стойла БЕРДТІ 8 см да куйӧд проход дінті 12 см.
0169	ADP	дін	дін-ті	sg	tra	FALSE	NA	NA	NA	NA	TRUE	NA	korkeus on kulkureitin kohdalta…	джудждаыс	проход	дінті	Куйӧд канаваяссӧ лӧсьӧдӧма куйӧд чукӧртӧм могысь, пасьтаыс 36–40 см, джудждаыс стойла бердті 8 см да куйӧд проход ДІНТІ 12 см.
0170	NOUN	голя	голя-ӧд-ыс	sg	prl	TRUE	NA	NA	NA	NA	NA	TRUE	kurkusta kiristellen	зэлӧдӧмӧн	NA	голяӧдыс	Некутшӧм ногӧн дӧзмысь вӧвъясӧс дорӧм вылӧ оз ков домавны сюръя дінӧ ни кольчаӧ ГОЛЯӦДЫС гезйӧн ёна зэлӧдӧмӧн, сы понда мый унаысь овлӧ: вӧлыс пессигӧн чегӧ ассьыс голясьыс сюрса лысӧ да вӧвъяс кулалӧны.
0171	ADP	бок	бок-ъяс-ті-ыс	pl	tra	TRUE	NA	NA	NA	NA	NA	NA	kierii sileiksi tehtyjä reunoja pitkin	исковтӧ	шыльыда вӧчӧм	бокъястіыс	Сэсся зэр ваыс да лым сылӧм ваыс чукӧр кодьсӧ оз жӧ пожъяв, исковтӧ шыльыда вӧчӧм БОКЪЯСТІЫС да.
0172	NOUN	трубка	трубка-яс-ті-ыс	pl	tra	TRUE	Väylä (distr.)	NA	NA	NA	NA	NA	vierii putkia pitkin	исковтӧ	NA	трубкаястіыс	кӧйдыс петан туйяс, трубка кодьӧсь, ящик пыдӧсса аппаратсьыс кӧйдысыс шыблассьӧ сійӧ трубкаас, ТРУБКАЯСТІЫС сэсся исковтӧ сійӧ увлань, гӧръясӧ;
0173	NOUN	шӧр	шӧр-ті-ыс-джык	sg	tra	TRUE	Tila	NA	NA	NA	NA	NA	laskevat keskemmältä	исковтӧны	NA	шӧртіысджык	Зӧр тусьясыс нӧ лӧняджыка исковтӧны уліас, ШӦРТІЫСДЖЫК; улыс помас найӧ киссьӧны викаысь торйӧн.
0174	NOUN	шӧртас	шӧртас-ті-ыс	sg	tra	TRUE	Väylä (mitta)	NA	NA	NA	TRUE	NA	"""pienempi keskeltä"""	ичӧтджык	NA	шӧртастіыс	Но, ме тай висьтавлі нин, тӧлысьыд ШӦРТАСТІЫС вомлӧс ногыс 4 пӧв ичӧтджык мусьыд да сы вӧсна вуджӧрнас оз вермы тупйыны став мутӧ.
0175	ADP	берд	берд-ті-ыс	sg	tra	TRUE	Tila	NA	NA	NA	NA	NA	nakertaa juuren vierestä	йирӧны	вуж	бердтіыс	Найӧ йирӧны вуж БЕРДТІЫС да вермасны вуж бердса почкаяссӧ сёйны.
0176	NOUN	шӧр	шӧр-ӧд-ыс	sg	prl	TRUE	Tila	NA	NA	NA	NA	TRUE	kytketyt keskeltä	йитӧмаӧсь	NA	шӧрӧдыс	Трубкаясыс ШӦРӦДЫС кӧрткодьӧн йитӧмаӧсь, йитӧд вылас — винт.
0177	ADP	кост	кост-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	on kytkeytynyt Liverpoolin ja Manchesterin väliseen (rautatiehen)	йитчӧма	Ливерпуль да Манчестер	костӧд	Паравозъяс ёна паськалӧмлӧн да кӧрт туй транспорт паськалӧмлӧн историяыс йитсьӧма Ливерпуль да Манчестер КОСТӦД кӧрт туй историякӧд (Англия).
0178	ADP	дор	дор-ӧд-ыс	sg	prl	TRUE	NA	NA	NA	NA	NA	NA	nousee oven vierestä	кайӧ	ӧдзӧс	дорӧдыс	Ӧдзӧс ДОРӦДЫС йылӧдзыс кайӧ пос.
0179	NOUN	потас	потас-ъяс-ӧд	pl	prl	FALSE	NA	NA	NA	NA	NA	NA	nousee puhkeamien kautta	кайӧ	NA	потасъясӧд	Вӧсньыд, юрси кыза розьясӧд, ПОТАСЪЯСӦД ваыд ӧдйӧ кайӧ.
0180	NOUN	розь	розь-яс-ӧд	pl	prl	FALSE	NA	NA	NA	NA	NA	NA	nousee rei'istä	кайӧ	NA	розьясӧд	Вӧсньыд, юрси кыза РОЗЬЯСӦД, потасъясӧд ваыд ӧдйӧ кайӧ.
0181	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	«Герольд» нима сельхоз коммуналӧн (Мӧскуаса обласьт) силосуйтӧмын нёль вося опытыс петкӧдліс, мый кӧдзны силос вылӧ подсолнечник ВЫВТІ бур.
0182	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	6. Яй, силосӧн вердігӧн, лоӧ ВЫВТІ бур.
0183	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	А дирижабль вылын ветлӧм, йитӧд кутӧм уна боксянь позьӧ лыддьыны ВЫВТІ бурӧн ӧнія став сикас ветлӧмъяс дінас.
0184	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Абу кӧ гӧрӧма арнас коськӧм мутӧ, тулыснас колӧ сэті гӧрны водзджык, пырысь-пыр, мыйӧн помасяс вося кӧдзаыд, сёрмӧдчан кӧ гӧрӧмнад, бара жӧ муыс ВЫВТІ ёна косьмӧ да бӧрті гырысь комӧкӧн кутас гӧрсьыны.
0185	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Арктика кузя муннысӧ ВЫВТІ сьӧкыд, ёна кыз йиа сэті да, йиыс сэтысь весиг гожӧмъяснас оз сывлы да, нэмыс пыр сэні куйлӧ да.
0186	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Бобӧнянь вӧдитӧм бӧрын, арсяньыс кӧ гӧрны му, шабді улӧ лоӧ ВЫВТІ бур.
0187	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур вынсьӧдан корнеплодъяслы — куйӧд ва.
0188	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур корнеплодъяслы и пач пӧим.
0189	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ бур лоӧ, татшӧм веж куйӧдыскӧд кӧ тшӧтш пуктан муад кутшӧмсюрӧ минеральнӧй му вынсьӧданторъяс.
0190	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ васӧд либӧ ва сора кӧрымъяс силосуйтӧм
0191	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ВЫВТІ векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0192	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс ВЫВТІ колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0193	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Гуяс да гӧбӧчьяс ВЫВТІ кӧ косӧсь, тӧвнас колӧ шочиника лыасӧ пызйывлыны ваӧн.
0194	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Дерт оз кӧ ВЫВТІ бура быдмы бобӧняньыс ытшкан первой вонас, позьӧ и сэки кольны мыйта колӧ кӧйдыссӧ воӧдӧм вылас.
0195	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Дирижабльяс стрӧитӧмын эм ещӧ ӧти ыджыд тырмытӧмтор: ВЫВТІ донаӧсь сувтӧны дирижабльыслы колан мувывса сооруженньӧясыс — эллингъяс, сувтан (причальнӧй) мачтаяс, газӧвӧй завод, бензин видзанінъяс, мастерскӧйяс, лабораторияяс да сідз водзӧ.
0196	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Кӧрымыс кӧ ВЫВТІ васӧд да сочнӧй (капуста лист, корнеплодъяслӧн кор, вундалӧм тыква, да с. в.) сы дінӧ колӧ сорлавны шырӧм идзас либӧ полова.
0197	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Лысьтан мӧсъяслы корнеплодъясыд ВЫВТІ бур кӧрым.
0198	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Машинаясӧн морт вермӧ ветлыны кос ВЫВТІ, ваӧд, уна сё пӧв ӧдйӧнджыка да кокньыдджыка.
0199	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Медвойдӧр шыбитчис меным синмӧ Ӧниссялӧн ВЫВТІ быгалӧмыс.
0200	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	На вылын ВЫВТІ бура нуӧдӧны велӧдчан удж да посньыдик могъяс кузя, торъя заданньӧяс кузя лэбалӧмъяс.
0201	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Найӧ асьнысӧ петкӧдлісны ВЫВТІ бурӧн.
0202	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Овлывлӧ мукӧддырйи сідзи: скӧт ветлӧдлас во-мӧд видзьяс ВЫВТІ дзоньвидзаӧн, сэсся во нёль мысти, вит мысти став ветлӧдлысь скӧтыс чукӧрнас ӧтпырйӧ висьмӧ сибырса язваӧн.
0203	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Оз ков вундыны сійӧс дзик яй бердтіыс либӧ кольны ВЫВТІ кузя (5-ӧд серп.).
0204	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Ӧні ми аддзам, абу миян сэтшӧм омӧль скӧтным, кутшӧмӧн ми чайтлім, абу кӧ нӧ ВЫВТІ бур, сэтысь бара жӧ абу скӧтыс мыжа.
0205	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Пемыдіныд да, ватлаланіныд да, няйтыд да, — ВЫВТІ бур чахотка гаглы.
0206	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Силос ньӧжйӧ пӧсялӧ либӧ ВЫВТІ кыза слӧй тэчӧм вӧсна, либӧ кӧрымыс вывті ваа да сы вӧсна.
0207	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Силос ньӧжйӧ пӧсялӧ либӧ вывті кыза слӧй тэчӧм вӧсна, либӧ кӧрымыс ВЫВТІ ваа да сы вӧсна.
0208	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын кыскыны сьӧкыд груз лыа ВЫВТІ сьӧкыд, нёль мында сьӧкыдджык шоссе вывті кыскӧм серти.
0209	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын кыскыны сьӧкыд груз лыа вывті сьӧкыд, нёль мында сьӧкыдджык шоссе ВЫВТІ кыскӧм серти.
0210	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сӧмын оз ков ВЫВТІ видзӧдны пасъяс вылас, оз ков канаватӧ кодйыны-чукльӧдлыны пасъяс кузяыс, а колӧ кодйыны кыдз верман веськыдджыка.
0211	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	ссср центръясын, торъя нин Москваын, турун ёна оз тырмы, турун вылӧ доныс мукӧд пӧлӧс кӧрымъяс серті ВЫВТІ вылын.
0212	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Став важ висьтъяс серти миянлысь Мутӧ кутшӧмкӧ паськыд море кутӧ: слӧнъясӧс кутысь черепаха пӧ море вывті плавайтӧ, кит море ВЫВТІ плавайтӧ.
0213	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, ВЫВТІ мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0214	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, вывті мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). ВЫВТІ векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс вывті колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0215	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Стойла либӧ мӧс оланін колӧ лоны буретш тӧрана, вывті мед абу жӧ ыджыд (сідзтӧ стрӧйбаыс дона лоӧ). вывті векньыд стойлаын оз позь ветлыны мӧсъяс костті, шуам, тшӧткаӧн весалігӧн; весавныс ВЫВТІ колӧ не толькӧ гылалан гӧн идралӧм могысь, кодъяс лысьтысигӧн йӧв пиӧ веськалӧны да йӧвсӧ тшыкӧдӧны, но сідзжӧ кучик вылысь бус-няйт весалӧм вӧсна.
0216	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтчӧ и шабдіыд ВЫВТІ бур артмӧ.
0217	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтчӧ сэсся куйӧдтӧ оз и ков петкӧдны: шабді кӧ кӧдзан, артмӧ куйӧдавтӧгыс ВЫВТІ бур.
0218	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Сэтшӧм вартӧм абу ВЫВТІ бур.
0219	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Тадзинад зэв уна да ВЫВТІ бур вына куйӧд артмӧ, да и идзасыд этшаджык вольӧс вылад мунӧ.
0220	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Татшӧм арся гӧрӧмыд ВЫВТІ бур картупельлы, капусталы да луклы.
0221	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Тулысын гӧрны-кӧдзны колӧ кыдз позьӧ водзджык, сӧмын мед гӧригад абу жӧ ВЫВТІ ва муыд-а, гӧр шабала (отвал) дінад да агас пинь дінад мед оз жӧ мавтчы муыс.
0222	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Уна скӧт видзысьяслы татшӧм квайт переменаыд ВЫВТІ бур.
0223	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Шабді кутӧма артмыны ВЫВТІ бур: ён сия (сіа) да ён юра.
0224	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Ытшкан первойя вонас бобӧнянь ВЫВТІ быдмӧ, усьӧ да оз ӧткодя во кӧйдысыс.
0225	ADV	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Этша ӧмӧй миян зіляясыд да ва видзьясыд, кӧні ВЫВТІ ва вӧснаыс туруныд оз быдмы?
0226	ADV?	выв	выв-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вывті	Медбур лекарство пӧдтан висьӧмысь: овны югыдінын, шонді водзын, бура сёйны-юны, сӧстӧма овны, оз ков уджавны вын ВЫВТІ, оз ков юны вина да оз ков куритчыны.
0227	NOUN	труба	труба-яс-ӧд	pl	prl	FALSE	Väylä (distr.)	NA	NA	NA	NA	NA	nousee (eri) putkia pitkin	кайӧ	NA	трубаясӧд	Пачсянь либӧ лампасянь инкубатор вевдорас шоныдыс кайӧ торъя ТРУБАЯСӦД, кӧні куйлӧны колькъясыс.
0228	NOUN	шӧр	шӧр-ӧд-ыс	sg	prl	TRUE	Väylä	NA	NA	NA	NA	NA	nousee keskeltä	кайӧ	NA	шӧрӧдыс	ШӦРӦДЫС кайӧ веськыд коккодь.
0229	NOUN	поск	поск-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	kapuaa siltaa pitkin	каттьысьӧ	NA	поскӧд	Татшӧм вӧръясын, мусин вылысса кос эж, лӧпъяс, латшкӧс том вӧр да ӧшалан рой отсӧгӧн, му бердса би каттьысьӧ ПОСКӦД моз пу йылӧдз, чеччалӧ пуысь пуӧ да сотӧ став вӧрсӧ дзоньнас.
0230	ADP	кост	кост-ъяс-ӧд	pl	prl	FALSE	NA	NA	NA	NA	NA	NA	nousee hiekan väleistä	каттьысяс	лыа	костъясӧд	Посньыдик розьясӧд, лыа КОСТЪЯСӦД ваыд улісяньыс ӧдйӧ каттьысяс вывланьӧ, зэв ӧдйӧ косьмӧ.
0231	NOUN	розь	розь-яс-ӧд	pl	prl	FALSE	NA	NA	NA	NA	NA	NA	kipuaa (pieniä) reikiä myöten	каттьысяс	NA	розьясӧд	Посньыдик РОЗЬЯСӦД, лыа костъясӧд ваыд улісяньыс ӧдйӧ каттьысяс вывланьӧ, зэв ӧдйӧ косьмӧ.
0232	NOUN	дужка	дужка-ӧд-ыс	sg	prl	TRUE	NA	NA	NA	NA	NA	NA	NA	кватитіс	NA	дужкаӧдыс	Кык-куим секундаӧн Клим Ворошилов кватитіс пулемётсӧ ДУЖКАӦДЫС, гӧгыльтіс платформа помса канаваӧ, дулосӧ бергӧдіс овраглань, правитіс лентасӧ…
0233	ADP	берд	берд-ті-ыс-джык	sg	tra	TRUE	Tila	NA	NA	NA	NA	NA	leikkaavat maan vieremmästä	керавны	му	бердтіысджык	Сэсся бурджык керавны вӧртӧ му БЕРДТІЫСДЖЫК: кокньыдджык лоӧ вынсявны выль пуяслы.
0234	NOUN	розь	розь-яс-ті-ыс	pl	tra	TRUE	NA	NA	NA	NA	NA	NA	valuu pienistä rei'istä	киссьӧ	NA	розьястіыс	Вылысладор помсяньыс кисьтӧны картупельсӧ, сійӧ гӧгыльтчӧ пӧв кузяыс, сэк посни РОЗЬЯСТІЫС киссьӧ му, сы бӧрын посни картупель, водзӧ шӧркодь, помас гырысь.
0235	NOUN	розь	розь-яс-ӧд	pl	prl	FALSE	NA	NA	NA	NA	NA	NA	valuvat reikiä pitkin	киссьӧны	NA	розьясӧд	Сложнӧй вартан машинаӧ мыччалӧны кольтаӧн, уна РОЗЬЯСӦД киссьӧны мешӧкӧ зэв сӧстӧм да сортъяс вылӧ юклӧм тусь.
0236	ADV	вылі	вылі-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	— Тонӧ зэв ВЫЛІТІ лэбӧ лэбач, либӧ аэроплан, либӧ дирижабль (3ʼ да 4ʼ серп.).
0237	ADV	вылі	вылі-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	Кӧйдыс вылӧ кольӧм вужъясысь корсӧ колӧ вундавны кор вуж бердсяньыс сантиметр кык ВЫЛІТІ.
0238	ADV	вылі	вылі-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выліті	Лыйӧм лэбач, ёна ВЫЛІТІ кӧ сійӧ вӧлі лэбзьӧ, усьӧ дырджык.
0239	ADV	вылі	вылі-ті-ыс	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вылітіыс	Ӧтик сийӧс помсӧ позьӧ ВЫЛІТІЫС восьтыны да калькӧдны (эм уліса шарнир).
0240	ADV	вылі	вылі-ті-ыс	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	вылітіыс	Сэсся косьмас да коркаасяс ВЫЛІТІЫС, быттьӧ клеитас мусӧ.
0241	NOUN	вылыс	вылыс-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	TRUE	päältä kiskominen	киськалӧм	NA	вылыстіыс	Гуӧ тэчӧм да ВЫЛЫСТІЫС известкаӧн киськалӧм петшӧрлӧн сідз жӧ ньӧдздӧны петшӧр сіясыс да клеитысь клейыс.
0242	NOUN	ловгорш	ловгорш-ӧд	sg	prl	FALSE	ehkä dupletti?	NA	NA	NA	NA	NA	täytyy mennä henkitorvea pitkin	ковмас мунны	NA	ловгоршӧд	Войдӧр ковмас налы мунны нырӧд да ЛОВГОРШӦД.
0243	NOUN	ловгорш	ловгорш-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	täytyy mennä henkitorvea pitkin	ковмас мунны	NA	ловгоршӧд	Войдӧр ковмас налы мунны нырӧд да ЛОВГОРШӦД.
0244	NOUN	ныр	ныр-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	täytyy mennä nenän kautta	ковмас мунны	NA	нырӧд	Войдӧр ковмас налы мунны НЫРӦД да ловгоршӧд.
0245	NOUN	кост	кост-ӧд	sg	prl	FALSE	NA	NA	NA	NA	NA	NA	täytyi venyttää Maan ja Auringon väliä (?)	ковмис нюжӧдны	Шондіа-Муа	костӧд	ковмис эськӧ нюжӧдны Шондіа-Муа КОСТӦД сэтшӧм уна уклад канат — быд гектар му вылӧ 160 сюрс канат, быд канат мед вӧлі 4 сантиметр кыза да вермис кутны 80 тонна груз.
0246	ADV	выльла	выльла-ті	NA	tra	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	выльлаті	Сэсся, изгармыштас вӧлі муыд ӧтилаті, эновтасны да ВЫЛЬЛАТІ гӧрасны.
0247	NOUN	выв	выв-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	TRUE	päälle kylvetty	кӧдзӧм	NA	вывтіыс	2) сю, ВЫВТІЫС кӧдзӧм бобӧнянь;
0248	NOUN	выв	выв-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	TRUE	päälle kylväen	кӧдзӧмӧн	NA	вывтіыс	зӧр либӧ ид, ВЫВТІЫС бобӧнянь кӧдзӧмӧн;
0249	NOUN	выв	выв-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	NA	päälle kylväen	кӧдзӧмӧн	NA	вывтіыс	2) сю, ВЫВТІЫС бобӧнянь кӧдзӧмӧн;
0250	NOUN	ин	ин-ъяс-ті	pl	tra	FALSE	NA	NA	NA	NA	NA	NA	kaivavat (kosteammista) paikoista	кодйӧны	NA	инъясті	Бокса, отсасьысь канаваяссӧ бара жӧ кодйӧны васӧдджык ИНЪЯСТІ шӧр канаваӧдзыс.
0251	NOUN	ин	ин-ті-ыс	sg	tra	TRUE	NA	NA	NA	NA	NA	NA	kaivavat alimmaisista paikoista	кодйыны	NA	интіыс	Шӧр канавасӧ кодйыны медувтас ИНТІЫС ва визувтан пӧкатлань, нуӧдӧны шорӧдз либӧ юӧдз.
